# ruleset sm-era-3 commit 5176f8a size 64 ticks 60000 ai 3 mirror 0 firmswap 0
seed,size,mirror,firmswap,ticks,offered,accepted,completed,failed,expired,acc_courier,acc_surveillance,acc_extraction,acc_sabotage,acc_acquisition,acc_defend,off_courier,off_surveillance,off_extraction,off_sabotage,off_acquisition,off_defend,courier,surveillance,extraction,sabotage,acquisition,defend,burns,downs,captures,arrests,rescues,banked,cacheLost,raids,raidsSucceeded,deployments,cleanExtracts,emergencyExtracts,heatMax,heatLockdownTicks,recognition,tierReached,avgSortieTicks,avgDeployTicks,deploysToTier3,ticksToTier3
24427,64,0,0,60000,80,23,8,11,28,2,2,16,0,0,3,234,54,810,80,0,247,1,1,6,0,0,0,20,17,17,17,0,732,208,16,1,8,5,0,5,13975,255,2,2747,3260,0,0
25249,64,0,0,60000,80,73,8,65,26,2,4,66,0,0,1,156,112,2753,1,0,23,1,1,5,0,0,1,80,67,67,67,0,889,156,4,1,70,67,0,5,39144,215,3,3047,880,4,25157
26071,64,0,0,60000,80,25,16,3,25,3,10,9,1,0,2,446,229,593,60,79,41,2,7,4,1,0,2,21,7,7,7,0,3484,517,1,1,7,4,0,5,48258,525,4,7351,14990,2,36391
26893,64,0,0,60000,80,39,9,25,29,3,7,27,0,0,2,422,74,907,10,0,177,2,5,0,0,0,2,48,29,29,29,0,3069,828,18,2,22,19,0,5,49487,235,2,6658,4760,0,0
27715,64,0,0,60000,80,46,15,28,23,2,7,33,0,1,3,392,277,857,8,24,177,2,6,3,0,1,3,43,33,33,33,0,4545,3208,14,4,24,21,0,5,33158,515,4,3066,3878,2,22246
28537,64,0,0,60000,80,30,14,9,13,5,6,18,0,0,1,53,221,827,54,116,178,3,1,10,0,0,0,33,19,19,19,0,836,312,18,2,10,7,0,5,21956,405,3,3062,3780,2,19432
29359,64,0,0,60000,80,16,13,1,21,1,9,3,1,0,2,236,176,685,34,174,130,1,8,1,1,0,2,10,2,2,2,0,3457,0,44,0,7,4,0,5,51642,480,4,7634,16402,2,25593
30181,64,0,0,60000,80,25,22,1,28,5,7,4,3,2,4,133,246,721,109,159,67,4,6,4,3,1,4,19,4,3,3,0,4474,1048,17,3,8,5,0,5,17409,795,4,3960,13168,2,30382
31003,64,0,0,60000,80,16,11,3,25,3,4,5,0,0,4,3,196,938,61,168,69,2,3,3,0,0,3,19,7,7,7,0,1721,0,2,0,7,4,0,5,18089,290,4,4350,6947,4,19188
31825,64,0,0,60000,80,5,2,0,32,1,2,2,0,0,0,489,293,643,0,0,0,1,0,1,0,0,0,6,2,1,1,0,165,0,23,0,4,1,0,5,55723,10,1,1384,3890,0,0
32647,64,0,0,60000,80,42,11,28,26,2,5,33,0,0,2,192,297,1179,7,0,54,1,5,3,0,0,2,45,33,33,33,0,2443,1242,6,2,22,19,0,5,31523,330,3,4540,3160,3,27779
33469,64,0,0,60000,80,11,6,2,32,2,7,2,0,0,0,700,92,455,20,0,186,1,4,1,0,0,0,20,3,3,3,0,1766,524,85,1,5,2,0,5,54915,160,2,3280,27655,0,0
34291,64,0,0,60000,80,75,10,65,19,1,7,64,0,0,3,178,363,2315,28,20,16,1,4,3,0,0,2,78,69,69,69,0,890,932,7,3,60,57,0,5,48823,295,3,5616,1331,4,25560
35113,64,0,0,60000,80,41,7,32,30,2,3,34,1,1,0,333,111,2215,32,20,167,2,1,2,1,1,0,37,33,32,32,0,869,376,10,2,25,22,0,5,53218,280,3,3337,1740,1,22453
35935,64,0,0,60000,80,15,9,3,20,3,5,4,2,0,1,214,154,523,49,0,501,3,4,1,0,0,1,14,3,3,3,0,1876,680,10,2,5,2,0,5,55287,275,2,3950,14355,0,0
36757,64,0,0,60000,80,25,16,7,33,2,5,13,2,0,3,526,173,353,131,20,192,2,5,6,1,0,2,28,12,12,12,0,2113,758,15,3,8,5,0,5,16537,475,3,4789,7612,2,18811
37579,64,0,0,60000,80,25,12,4,27,3,10,9,0,0,3,238,219,667,33,138,131,1,6,3,0,0,2,17,10,10,10,0,3011,1242,20,2,10,7,0,5,9575,435,4,3127,7925,5,26960
38401,64,0,0,60000,80,22,18,1,39,3,10,4,2,0,3,399,204,376,209,59,213,2,9,2,2,0,3,14,3,3,3,0,3943,3124,10,9,7,4,0,5,9253,555,4,4979,12970,2,24078
39223,64,0,0,60000,80,97,1,53,21,0,2,95,0,0,0,301,420,2427,0,0,0,0,0,1,0,0,0,55,53,53,53,0,0,0,0,0,37,34,0,5,20644,10,1,832,541,0,0
40045,64,0,0,60000,80,21,16,3,27,3,5,6,1,3,3,338,257,544,25,238,48,3,4,4,1,1,3,16,5,5,5,0,1766,156,4,1,5,2,0,5,48778,610,4,6645,13630,2,23395
40867,64,0,0,60000,80,12,7,1,28,2,4,5,0,0,1,123,294,675,14,0,314,1,4,2,0,0,0,11,7,7,7,0,1719,0,1,0,8,5,0,5,12741,220,2,3108,5096,0,0
41689,64,0,0,60000,80,48,7,25,22,1,8,39,0,0,0,191,576,643,0,12,37,0,4,3,0,0,0,51,31,31,31,0,1656,0,4,0,21,18,0,5,22898,185,3,3915,3066,12,52404
1548,64,0,0,60000,80,49,13,21,26,3,7,34,2,0,3,384,97,712,65,20,280,3,5,2,2,0,1,36,23,23,23,0,2453,1432,9,3,16,13,0,5,20549,420,3,3619,3130,2,24424
2370,64,0,0,60000,80,28,16,8,23,0,9,9,2,1,7,112,295,730,55,61,169,0,7,4,1,0,4,44,10,10,10,0,3191,519,10,4,8,5,0,5,15543,485,4,5309,18640,2,29819
3192,64,0,0,60000,80,19,13,3,19,4,5,3,1,1,5,78,422,743,11,34,98,3,3,2,1,0,4,14,5,5,5,0,3131,1158,26,3,7,4,0,5,53506,505,4,2841,8797,4,26751
4014,64,0,0,60000,80,75,3,63,27,3,5,67,0,0,0,264,348,1457,0,0,0,0,2,1,0,0,0,83,73,73,73,0,414,0,25,0,24,21,0,5,35829,20,1,9418,3073,0,0
4836,64,0,0,60000,80,44,11,28,19,0,5,34,1,0,4,159,293,1046,3,56,52,0,5,2,0,0,4,41,32,32,32,0,2380,156,6,1,25,22,0,5,19192,405,3,3288,2507,2,26666
5658,64,0,0,60000,80,40,9,27,24,2,8,27,1,0,2,326,279,915,3,15,10,1,4,1,1,0,2,47,33,33,33,0,621,2473,18,8,17,14,0,5,26352,275,3,3506,4392,4,38245
6480,64,0,0,60000,80,18,8,6,22,0,4,10,1,1,2,304,233,640,10,56,152,0,2,3,1,1,1,15,10,10,10,0,1883,0,17,0,9,6,0,5,54751,335,3,4000,9291,2,31717
7302,64,0,0,60000,80,64,1,63,24,2,1,61,0,0,0,245,137,3316,0,0,0,0,0,1,0,0,0,66,64,64,64,0,156,0,3,0,83,80,0,5,42883,10,1,481,749,0,0
8124,64,0,0,60000,80,12,11,0,33,0,10,0,2,0,0,381,290,550,62,38,99,0,9,0,2,0,0,8,2,1,1,0,4071,414,9,1,7,4,0,5,7048,350,3,4848,16237,3,39091
8946,64,0,0,60000,80,65,7,57,18,0,6,59,0,0,0,224,220,3232,0,0,0,0,0,7,0,0,0,73,69,69,69,0,780,156,25,1,60,57,0,5,51206,170,3,3189,1011,26,40263
9768,64,0,0,60000,80,62,11,48,27,5,5,50,0,0,2,104,169,2158,60,0,102,3,5,1,0,0,2,61,51,51,51,0,1559,472,32,3,37,34,0,5,46074,325,3,3012,1933,2,20185
10590,64,0,0,60000,80,18,7,4,24,2,6,8,0,0,2,275,477,464,60,79,60,2,3,2,0,0,0,20,8,8,8,0,1462,0,2,0,7,4,0,5,57027,135,3,3167,5192,5,33741
11412,64,0,0,60000,80,10,4,3,24,0,7,3,0,0,0,192,344,864,55,0,0,0,2,2,0,0,0,8,4,4,4,0,104,414,15,1,4,1,0,5,19441,140,2,3863,4200,0,0
12234,64,0,0,60000,80,30,17,8,17,2,10,15,0,1,2,213,131,727,0,116,207,1,7,7,0,0,2,31,11,11,11,0,3106,779,4,6,10,7,0,5,15368,440,4,4992,6528,6,40139
13056,64,0,0,60000,80,14,8,3,33,2,6,6,0,0,0,236,257,600,19,0,283,2,4,2,0,0,0,18,4,4,4,0,2440,104,2,1,6,3,0,5,41195,110,2,3230,12113,0,0
13878,64,0,0,60000,80,66,3,63,24,0,6,60,0,0,0,193,125,3452,0,0,0,0,2,1,0,0,0,68,64,64,64,0,777,0,0,0,86,83,0,5,44129,80,2,2827,718,0,0
14700,64,0,0,60000,80,30,14,13,19,0,9,19,2,0,0,148,300,798,47,109,20,0,5,9,0,0,0,41,20,20,20,0,518,1789,4,10,7,4,0,5,31842,260,4,5725,3380,4,25135
15522,64,0,0,60000,80,12,7,3,31,0,6,2,2,0,2,588,423,295,10,72,82,0,3,1,1,0,2,9,3,3,3,0,1794,0,6,0,5,2,0,5,56439,305,3,3799,15120,3,34408
16344,64,0,0,60000,80,64,10,49,28,2,5,53,1,0,3,133,38,1942,54,0,445,2,4,2,0,0,2,62,54,54,54,0,2646,0,10,0,38,35,0,5,49804,265,2,3213,2035,0,0
17166,64,0,0,60000,80,23,22,0,23,4,10,3,2,0,4,411,300,422,28,56,208,4,10,3,1,0,4,18,0,0,0,0,3685,2611,9,4,6,3,0,5,26631,695,4,4702,12793,2,25061
17988,64,0,0,60000,80,26,16,5,20,3,7,12,4,0,0,219,268,755,53,102,40,2,6,5,3,0,0,16,6,6,6,0,3483,0,9,0,8,5,0,5,19126,535,4,4558,13908,2,28356
18810,64,0,0,60000,80,4,1,0,31,0,2,2,0,0,0,555,395,505,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,5,57704,35,1,1023,0,0,0
19632,64,0,0,60000,80,38,6,28,26,1,4,30,1,0,2,255,242,817,75,0,190,1,3,1,0,0,1,42,36,36,36,0,2019,110,6,1,16,13,0,5,54077,230,2,3427,4552,0,0
20454,64,0,0,60000,80,17,12,4,20,1,7,7,2,0,0,377,335,493,115,20,77,1,4,7,0,0,0,23,9,9,9,0,2486,881,6,2,6,3,0,5,27089,325,3,3825,11766,2,14286
21276,64,0,0,60000,80,22,12,6,23,5,5,9,0,1,2,118,248,974,47,54,7,4,4,2,0,1,1,20,9,9,9,0,405,1111,7,5,6,3,0,5,28999,360,3,4807,5980,4,27127
22098,64,0,0,60000,80,492,6,37,32,252,5,233,0,0,2,332,204,2620,10,0,52,2,2,0,0,0,2,75,62,62,62,0,1668,0,26,0,80,77,0,5,76697,190,3,3371,702,2,25746
22920,64,0,0,60000,80,32,13,13,32,2,7,20,0,0,3,288,234,716,3,44,131,1,3,7,0,0,2,38,20,20,20,0,3056,0,5,0,9,6,0,5,33711,290,4,4194,9958,2,36184
23742,64,0,0,60000,80,15,12,1,23,0,15,0,0,0,0,230,359,572,25,56,163,0,12,0,0,0,0,16,1,1,1,0,5175,1242,8,2,7,4,0,5,15939,295,3,5435,15790,3,43614
24564,64,0,0,60000,80,19,17,1,27,1,8,3,1,0,6,386,242,338,45,154,255,1,8,2,0,0,6,10,0,0,0,0,2856,2338,15,9,6,3,0,4,7196,605,4,3837,10336,2,34955
25386,64,0,0,60000,80,66,3,62,29,1,2,63,0,0,0,238,316,4468,28,0,60,1,1,1,0,0,0,67,62,62,62,0,321,321,3,1,116,113,0,5,36854,55,2,2779,516,0,0
26208,64,0,0,60000,80,27,18,7,30,6,4,8,1,4,4,332,8,561,163,164,192,4,3,5,0,4,2,24,12,12,12,0,2770,2178,16,7,6,3,0,5,14332,625,4,4684,11213,2,26446
27030,64,0,0,60000,80,5,1,1,30,1,4,0,0,0,0,369,421,615,0,0,0,1,0,0,0,0,0,11,1,1,1,0,0,0,31,0,3,0,0,5,61169,10,1,1638,0,0,0
27852,64,0,0,60000,80,66,4,60,17,1,4,61,0,0,0,34,358,2832,29,0,264,1,2,1,0,0,0,74,69,69,69,0,1511,1863,26,3,63,60,0,5,58146,90,2,3359,1231,0,0
28674,64,0,0,60000,80,20,10,5,22,3,8,7,0,0,2,529,161,589,19,23,64,1,5,3,0,0,1,27,8,8,8,0,1612,828,6,2,5,2,0,5,55596,210,3,7570,12220,1,23773
29496,64,0,0,60000,80,19,11,3,36,1,5,7,2,0,4,338,100,601,20,299,22,1,3,3,1,0,3,21,4,4,4,0,2491,621,18,1,6,3,0,5,55620,290,3,5107,19753,2,22565
30318,64,0,0,60000,80,6,3,0,31,2,4,0,0,0,0,156,955,289,0,0,0,2,1,0,0,0,0,10,0,0,0,0,0,110,8,1,3,0,0,5,62615,20,1,3058,0,0,0
31140,64,0,0,60000,80,34,5,25,29,3,2,28,1,0,0,376,135,1236,36,0,65,2,2,1,0,0,0,43,28,28,28,0,900,321,14,1,20,17,0,5,33677,55,2,5180,3288,0,0
31962,64,0,0,60000,80,58,10,44,18,2,6,49,0,0,1,96,160,2068,53,60,79,2,6,1,0,0,1,50,48,48,48,0,2336,524,32,1,35,32,0,5,45999,370,3,3350,2206,2,22666
32784,64,0,0,60000,80,65,12,51,26,3,4,57,0,0,1,224,230,2152,11,0,3,0,3,9,0,0,0,70,54,54,54,0,1764,0,6,0,31,28,0,5,28309,335,4,4159,2425,7,29695
33606,64,0,0,60000,80,19,18,0,28,3,11,2,1,0,2,280,206,293,165,30,461,3,11,2,1,0,1,22,2,2,2,0,4881,1278,7,3,8,5,0,5,12294,450,4,4268,12730,2,18738
34428,64,0,0,60000,80,30,24,5,26,3,7,12,3,0,5,189,516,518,51,91,51,2,6,12,2,0,2,26,10,10,10,0,260,4759,1,18,6,3,0,5,16246,725,4,2429,1406,4,10619
35250,64,0,0,60000,80,31,21,6,25,4,7,10,3,4,3,172,249,339,73,215,397,2,5,5,3,3,3,32,9,9,9,0,2762,2351,13,11,8,5,0,4,1180,810,4,4318,14546,2,19912
36072,64,0,0,60000,80,9,1,5,24,0,8,1,0,0,0,160,604,641,0,0,0,0,1,0,0,0,0,14,5,5,5,0,0,0,0,0,5,2,0,5,54709,10,1,4698,570,0,0
36894,64,0,0,60000,80,4,3,0,20,0,2,2,0,0,0,442,220,733,0,0,0,0,2,1,0,0,0,13,1,1,1,0,414,0,1,0,4,1,0,5,11210,20,1,7937,5060,0,0
37716,64,0,0,60000,80,52,19,31,20,3,7,37,0,1,4,416,216,879,0,11,46,1,2,15,0,0,1,55,42,42,42,0,1689,0,0,0,14,11,0,5,40404,560,4,7039,5086,8,26700
38538,64,0,0,60000,80,24,12,7,32,1,9,10,2,1,1,277,161,810,38,75,45,0,6,6,0,0,0,27,11,11,11,0,3210,1036,17,3,7,4,0,5,18118,370,4,3176,12162,3,26021
39360,64,0,0,60000,80,68,4,62,34,2,3,63,0,0,0,423,125,3302,36,0,80,1,2,1,0,0,0,67,62,62,62,0,828,0,2,0,96,93,0,5,32230,140,2,2899,592,0,0
40182,64,0,0,60000,80,42,18,21,24,1,6,31,2,0,2,317,229,881,33,0,38,1,3,11,2,0,1,52,23,23,23,0,2563,0,6,0,12,9,0,5,25921,560,4,5604,7434,6,29403
41004,64,0,0,60000,80,6,2,2,30,0,3,3,0,0,0,222,122,1057,0,0,0,0,1,1,0,0,0,9,3,3,3,0,0,156,9,1,5,2,0,5,54880,20,1,3188,1850,0,0
41826,64,0,0,60000,80,19,9,6,27,4,7,6,0,0,2,271,148,567,48,146,251,2,4,3,0,0,0,25,7,7,7,0,1657,544,4,2,5,2,0,5,43325,170,3,4710,12460,2,29513
1685,64,0,0,60000,80,60,1,59,28,1,4,55,0,0,0,76,479,4268,0,0,0,0,1,0,0,0,0,67,63,63,63,0,0,0,8,0,154,151,0,5,29822,0,1,11866,405,0,0
2507,64,0,0,60000,80,9,2,3,28,2,4,3,0,0,0,416,113,881,0,0,0,0,1,1,0,0,0,9,4,4,4,0,156,0,3,0,4,1,0,5,54913,45,1,3084,9630,0,0
3329,64,0,0,60000,80,64,2,62,27,3,2,59,0,0,0,162,315,4394,0,0,0,1,1,0,0,0,0,70,62,62,62,0,0,414,112,1,126,123,0,5,30152,35,1,2912,505,0,0
4151,64,0,0,60000,80,38,5,23,19,0,6,28,0,0,4,135,146,1536,32,0,38,0,3,1,0,0,1,53,34,34,34,0,1035,0,7,0,20,17,0,5,29548,145,2,4278,1587,0,0
4973,64,0,0,60000,80,20,16,2,31,2,8,3,3,1,3,357,189,374,131,136,233,2,8,2,1,1,2,22,2,2,2,0,3990,1077,7,5,7,4,0,4,5397,415,4,4607,16192,2,32543
5795,64,0,0,60000,80,52,6,37,26,1,5,44,0,0,2,306,264,1188,6,3,15,0,3,3,0,0,0,49,39,39,39,0,1761,621,3,1,23,20,0,5,75556,125,3,7588,3176,10,43405
6617,64,0,0,60000,80,33,22,10,22,7,7,13,1,1,4,428,150,486,42,120,229,3,6,8,1,1,3,48,14,14,14,0,3508,828,9,2,9,6,0,5,34100,665,4,3439,14540,2,26980
7439,64,0,0,60000,80,22,14,5,28,3,9,7,0,0,3,194,404,434,74,95,209,3,8,1,0,0,2,44,7,7,7,0,2869,2387,17,6,8,5,0,5,45839,220,3,6447,11892,1,35547
8261,64,0,0,60000,80,33,3,26,31,2,3,28,0,0,0,279,334,1281,29,0,0,0,2,1,0,0,0,46,27,27,27,0,1035,0,15,0,21,18,0,5,60527,80,2,3705,2927,0,0
9083,64,0,0,60000,80,21,13,3,34,7,5,4,2,0,3,627,238,369,62,0,117,6,2,2,0,0,3,27,3,3,3,0,2411,2414,35,6,5,2,0,5,44081,275,3,3571,33400,1,24536
9905,64,0,0,60000,80,31,10,10,23,1,6,19,0,1,4,309,277,726,26,46,86,1,3,2,0,1,3,28,19,19,19,0,2992,0,6,0,9,6,0,5,58052,340,4,3712,9641,3,35676
10727,64,0,0,60000,80,38,17,19,16,4,4,21,0,3,6,188,117,531,26,156,387,4,3,2,0,3,5,44,21,21,21,0,2300,524,4,1,10,7,0,5,12310,670,4,2705,7078,4,24909
11549,64,0,0,60000,80,57,9,43,30,4,6,44,1,0,2,342,216,1196,24,27,44,3,4,0,0,0,2,65,49,49,49,0,2219,110,3,1,31,28,0,5,30859,235,3,3530,2107,3,35826
12371,64,0,0,60000,80,37,14,19,30,2,4,28,1,0,2,208,206,1051,34,0,138,0,2,11,0,0,1,48,33,33,33,0,1139,1246,15,10,14,11,0,5,40065,510,4,3389,6272,5,28087
13193,64,0,0,60000,80,21,16,0,27,1,6,8,1,1,4,410,196,534,50,108,157,1,6,4,0,1,4,38,3,3,3,0,3838,414,5,1,7,4,0,5,24845,365,4,5241,22420,2,35390
14015,64,0,0,60000,80,68,5,58,21,1,8,59,0,0,0,49,231,2834,0,0,75,1,4,0,0,0,0,71,68,68,68,0,1766,1145,23,3,42,39,0,5,53921,150,2,4050,1396,0,0
14837,64,0,0,60000,80,10,6,0,35,2,7,1,0,0,0,607,393,108,56,0,211,2,4,0,0,0,0,6,1,1,1,0,1352,524,7,1,4,1,0,5,49195,185,2,3388,20420,0,0
15659,64,0,0,60000,80,18,8,2,23,2,6,9,0,0,1,404,103,689,0,27,210,1,6,1,0,0,0,20,8,8,8,0,2310,828,27,2,8,5,0,5,4424,170,3,3951,7726,3,38114
16481,64,0,0,60000,80,66,7,56,30,4,4,57,1,0,0,432,66,2318,45,0,0,3,4,0,0,0,0,69,58,58,58,0,1352,1242,5,3,41,38,0,5,59509,85,2,3645,1862,0,0
17303,64,0,0,60000,80,11,2,4,29,1,6,4,0,0,0,440,132,786,0,0,63,0,1,1,0,0,0,17,4,4,4,0,0,0,8,0,4,1,0,5,60153,0,2,8566,2080,0,0
18125,64,0,0,60000,80,49,7,38,28,7,6,36,0,0,0,313,120,1527,26,0,170,2,4,1,0,0,0,66,44,44,44,0,1249,414,4,1,28,25,0,5,53164,75,2,6428,3190,0,0
18947,64,0,0,60000,80,57,0,56,24,0,3,54,0,0,0,212,318,4291,0,0,0,0,0,0,0,0,0,66,63,63,63,0,0,0,3,0,144,141,0,5,56480,0,1,0,390,0,0
19769,64,0,0,60000,80,20,12,5,24,2,8,5,1,1,3,125,490,624,13,8,181,0,5,3,0,1,3,19,7,7,7,0,1554,2072,20,7,5,2,0,5,62283,455,3,4767,15785,2,30197
20591,64,0,0,60000,80,40,25,8,32,2,10,22,1,0,5,271,221,591,141,193,79,1,8,13,0,0,3,26,15,15,15,0,3426,3135,21,11,9,6,0,5,21478,825,4,4272,14090,1,20960
21413,64,0,0,60000,80,12,6,4,25,3,3,5,0,0,1,213,347,739,47,0,64,2,2,2,0,0,0,15,5,5,5,0,1346,621,7,1,5,2,0,5,10108,115,2,4965,9610,0,0
22235,64,0,0,60000,80,16,13,0,24,0,7,3,0,0,6,292,198,431,40,76,403,0,6,2,0,0,5,10,0,0,0,0,3622,518,9,1,6,3,0,5,5997,470,4,4025,16410,2,36650
23057,64,0,0,60000,80,11,2,7,16,1,4,6,0,0,0,290,190,1112,0,0,0,0,2,0,0,0,0,35,16,16,16,0,621,0,1,0,9,6,0,5,98140,45,1,5065,2140,0,0
23879,64,0,0,60000,80,28,20,4,26,4,8,7,0,0,9,300,106,737,26,51,224,2,6,4,0,0,8,23,7,6,6,0,3579,1605,12,2,7,4,0,5,9024,670,4,4103,12880,1,27642
24701,64,0,0,60000,80,75,5,59,21,1,4,69,0,0,1,102,130,3132,0,0,14,0,2,3,0,0,0,70,64,64,64,0,726,0,4,0,120,117,0,5,30992,100,2,5811,543,0,0
25523,64,0,0,60000,80,25,17,5,29,4,6,8,3,0,4,311,246,521,79,287,51,2,5,5,1,0,4,17,7,7,7,0,2649,938,21,5,7,4,0,5,14500,600,3,3692,11705,2,23196
26345,64,0,0,60000,80,11,7,2,30,2,6,2,0,0,1,160,397,669,0,0,147,1,5,0,0,0,1,20,2,2,2,0,110,1559,15,4,4,1,0,5,60871,155,3,9003,3520,1,36788
27167,64,0,0,60000,80,4,1,0,18,0,1,3,0,0,0,436,510,484,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,0,3,0,0,5,54957,10,1,1484,0,0,0
27989,64,0,0,60000,80,8,3,1,25,4,3,1,0,0,0,76,392,929,33,0,0,3,0,0,0,0,0,11,2,2,2,0,0,275,1,1,4,1,0,5,109716,80,2,1230,2320,0,0
28811,64,0,0,60000,80,35,11,18,26,2,5,20,3,0,5,249,133,1130,8,9,46,0,5,2,1,0,3,46,28,28,28,0,2415,932,56,3,17,14,0,5,78013,310,3,7809,7415,3,50805
29633,64,0,0,60000,80,57,4,37,25,1,7,48,0,0,1,495,427,734,0,0,2,1,2,1,0,0,0,53,37,37,37,0,932,0,4,0,20,17,0,5,65853,45,2,9650,2524,0,0
30455,64,0,0,60000,80,30,18,7,23,3,12,11,1,2,1,273,174,496,96,116,293,2,8,6,0,2,0,26,10,10,10,0,4196,579,5,2,9,6,0,5,16095,510,4,3777,11651,2,21574
31277,64,0,0,60000,80,46,15,25,25,2,7,34,2,0,1,256,265,757,71,11,157,2,4,7,1,0,1,50,29,29,29,0,1688,1812,6,3,16,13,0,5,37533,320,4,8414,5690,11,48946
32099,64,0,0,60000,80,67,3,62,24,1,1,65,0,0,0,234,200,4395,0,0,107,1,1,1,0,0,0,72,62,62,62,0,110,0,0,0,119,116,0,5,33755,70,2,2617,484,0,0
32921,64,0,0,60000,80,64,1,62,22,1,5,58,0,0,0,161,227,4275,0,0,0,0,1,0,0,0,0,78,62,62,62,0,414,0,32,0,99,96,0,5,97523,10,1,4428,623,0,0
33743,64,0,0,60000,80,30,23,4,26,8,9,3,2,2,6,126,318,597,92,226,56,7,8,1,1,2,4,14,4,4,4,0,4532,2807,31,7,8,5,0,5,6297,885,4,3219,15730,1,21145
34565,64,0,0,60000,80,15,11,3,29,2,9,2,0,0,2,253,593,443,37,13,140,1,6,2,0,0,2,42,4,4,4,0,2441,165,11,1,6,3,0,5,27964,145,3,6193,18213,2,50540
35387,64,0,0,60000,80,13,11,1,31,1,7,3,1,0,1,274,281,556,129,0,220,1,7,2,0,0,1,18,2,2,2,0,2960,1097,6,3,6,3,0,5,18497,195,2,5698,12436,0,0
36209,64,0,0,60000,80,28,15,11,23,2,10,11,1,1,3,221,316,674,12,94,93,0,6,7,0,0,2,30,13,13,13,0,2071,1629,10,3,7,4,0,5,34585,375,4,6506,8365,4,35413
37031,64,0,0,60000,80,15,11,0,31,3,6,2,1,0,3,89,383,732,54,8,104,3,5,0,1,0,2,11,2,2,2,0,993,1875,25,3,5,2,0,5,19035,360,3,5594,8370,1,45539
37853,64,0,0,60000,80,25,19,4,21,2,10,6,0,2,5,358,118,779,21,28,117,2,8,2,0,2,5,31,8,8,8,0,4242,0,5,0,9,6,0,5,24553,595,4,3659,11505,2,29050
38675,64,0,0,60000,80,15,10,3,25,3,4,3,3,0,2,238,56,791,30,0,335,3,4,2,1,0,0,19,3,3,3,0,2760,579,10,2,6,3,0,5,7796,160,2,4181,10900,0,0
39497,64,0,0,60000,80,33,10,18,22,1,8,22,0,0,2,349,350,644,0,0,181,1,6,1,0,0,2,36,24,24,24,0,2336,2801,19,5,17,14,0,5,40747,300,3,5616,5509,4,41698
40319,64,0,0,60000,80,57,5,47,28,3,5,48,0,0,1,256,65,2091,13,0,336,1,4,0,0,0,0,78,65,65,65,0,1766,0,6,0,44,41,0,5,97162,150,2,4671,1704,0,0
41141,64,0,0,60000,80,42,9,27,21,2,5,30,0,0,5,137,112,1140,7,21,25,1,2,3,0,0,3,41,31,31,31,0,156,2029,13,8,12,9,0,5,20396,240,3,4274,3620,8,46889
41963,64,0,0,60000,80,26,12,13,26,2,5,16,1,0,2,582,193,432,64,46,134,2,3,5,0,0,2,21,14,13,13,0,1242,1568,28,10,9,6,0,5,63643,410,4,4083,4146,6,31936
