# ruleset sm-era-2 commit 5b01693 patrolBase 4 size 64 ticks 60000 ai 3 mirror 0 firmswap 0
seed,size,mirror,firmswap,ticks,offered,accepted,completed,failed,expired,acc_courier,acc_surveillance,acc_extraction,acc_sabotage,acc_acquisition,acc_defend,off_courier,off_surveillance,off_extraction,off_sabotage,off_acquisition,off_defend,courier,surveillance,extraction,sabotage,acquisition,defend,burns,downs,captures,arrests,rescues,banked,cacheLost,raids,raidsSucceeded,deployments,cleanExtracts,emergencyExtracts,heatMax,heatLockdownTicks,recognition,tierReached,avgSortieTicks,avgDeployTicks,deploysToTier3
36346,64,0,0,60000,80,9,7,1,21,3,3,2,0,0,1,105,226,1137,0,0,0,2,2,2,0,0,1,9,5,5,5,0,483,104,2,1,6,3,0,5,9106,215,2,3020,3800,0
37168,64,0,0,60000,80,22,10,9,24,0,4,14,2,0,2,360,75,804,78,90,0,0,3,5,0,0,2,19,12,12,12,0,1709,0,2,0,7,4,0,5,16907,365,3,3440,7227,7
37990,64,0,0,60000,80,22,14,4,36,1,7,8,0,2,4,481,32,687,109,33,100,0,6,4,0,2,2,24,6,6,6,0,2885,621,6,1,6,3,0,5,16694,445,4,4513,18296,5
38812,64,0,0,60000,80,50,19,19,19,0,8,33,3,0,6,133,143,1042,14,34,112,0,1,15,0,0,3,43,31,31,31,0,2179,0,14,0,15,12,0,5,63436,665,4,5153,4358,13
39634,64,0,0,60000,80,22,9,11,36,3,3,13,1,0,2,254,186,875,64,12,39,1,2,3,1,0,2,24,11,11,11,0,1311,897,19,2,8,5,0,5,50382,280,3,9314,8520,8
40456,64,0,0,60000,80,20,7,12,26,0,6,12,2,0,0,196,49,1061,12,0,272,0,5,2,0,0,0,23,12,12,12,0,1346,932,6,1,10,7,0,5,54341,195,2,3901,4231,0
41278,64,0,0,60000,80,15,9,3,26,0,6,6,2,0,1,284,375,591,84,102,8,0,5,3,1,0,0,14,4,4,4,0,2330,0,5,0,6,3,0,5,16385,230,3,5513,14173,5
1137,64,0,0,60000,80,25,15,5,31,0,12,8,0,0,5,281,430,505,12,90,102,0,7,3,0,0,5,15,8,8,8,0,3882,0,0,0,9,6,0,5,13785,600,4,3287,7688,6
1959,64,0,0,60000,80,14,11,2,25,2,11,1,0,0,0,290,248,646,28,0,203,2,9,0,0,0,0,11,2,2,2,0,3381,2967,9,5,7,4,0,5,38865,285,2,3942,10362,0
2781,64,0,0,60000,80,54,11,35,26,1,7,42,0,0,4,374,169,972,0,0,58,1,5,2,0,0,3,57,39,39,39,0,483,1760,5,7,19,16,0,5,21052,230,3,8240,1072,19
3603,64,0,0,60000,80,14,3,8,31,1,3,10,0,0,0,244,299,761,0,0,177,1,1,1,0,0,0,18,12,12,12,0,828,0,3,0,8,5,0,5,12296,80,2,2113,2964,0
4425,64,0,0,60000,80,5,3,0,26,1,2,2,0,0,0,403,202,800,0,0,0,1,2,0,0,0,0,6,0,0,0,0,0,414,14,1,3,0,0,5,36548,80,1,3238,0,0
5247,64,0,0,60000,80,8,5,0,29,0,2,6,0,0,0,682,133,406,49,0,130,0,2,3,0,0,0,12,0,0,0,0,0,0,13,0,3,0,0,5,9596,80,2,4492,0,0
6069,64,0,0,60000,80,56,2,53,24,2,4,50,0,0,0,418,259,3506,0,0,0,0,2,0,0,0,0,76,63,63,63,0,414,828,10,2,95,92,0,5,91754,35,1,4722,637,0
6891,64,0,0,60000,80,41,16,19,28,0,8,30,0,0,3,297,293,1061,0,59,41,0,7,6,0,0,3,39,22,22,22,0,3417,1760,14,4,16,13,0,5,30883,500,4,6699,5783,14
7713,64,0,0,60000,80,58,6,49,22,0,6,51,0,0,1,138,199,2005,22,60,91,0,3,2,0,0,1,64,52,52,52,0,932,0,2,0,35,32,0,5,60958,195,3,4583,2016,7
8535,64,0,0,60000,80,63,4,58,22,1,2,59,0,0,1,296,304,3986,24,0,101,1,1,1,0,0,1,68,62,62,62,0,639,0,8,0,131,128,0,5,33512,75,2,3342,459,0
9357,64,0,0,60000,80,66,4,62,32,1,3,61,1,0,0,345,236,3991,54,0,60,1,2,1,0,0,0,68,64,64,64,0,1053,225,3,1,110,107,0,5,37389,105,2,2527,630,0
10179,64,0,0,60000,80,46,16,26,28,2,10,28,0,1,5,288,66,898,43,83,111,2,7,3,0,1,3,57,35,35,35,0,4203,414,6,1,18,15,0,5,31216,585,4,3177,5269,9
11001,64,0,0,60000,80,10,7,0,29,1,3,4,0,0,2,390,224,502,44,0,255,1,2,3,0,0,1,5,1,1,1,0,1606,156,4,1,5,2,0,5,53654,190,2,2556,11405,0
11823,64,0,0,60000,80,32,16,10,30,2,10,14,3,0,3,527,113,611,39,72,129,2,5,5,2,0,2,29,13,13,13,0,2174,3728,24,7,8,5,0,5,17039,455,4,6548,15118,6
12645,64,0,0,60000,80,20,12,3,30,1,7,7,5,0,0,262,131,748,37,191,57,1,5,3,3,0,0,15,4,4,4,0,2416,0,54,0,6,3,0,5,63390,430,3,3929,16333,5
13467,64,0,0,60000,80,19,15,1,21,0,7,6,2,1,3,540,61,582,10,117,95,0,6,3,2,1,3,12,1,1,1,0,3885,363,9,2,7,4,0,5,6067,555,4,3966,14837,4
14289,64,0,0,60000,80,21,6,13,31,4,4,12,0,0,1,337,11,1120,15,0,127,2,3,0,0,0,1,27,17,17,17,0,897,828,8,2,11,8,0,5,49995,150,2,4061,3212,0
15111,64,0,0,60000,80,28,21,6,27,6,6,9,2,0,5,544,56,386,27,183,230,4,2,9,1,0,5,26,7,7,7,0,1977,1268,13,7,6,3,0,5,24968,725,4,4295,16070,4
15933,64,0,0,60000,80,27,18,7,30,3,4,9,5,1,5,311,280,461,71,151,93,2,3,7,2,1,3,26,13,13,13,0,1295,2573,2,13,7,4,0,5,14609,615,4,3384,9750,6
16755,64,0,0,60000,80,8,4,0,28,0,6,2,0,0,0,492,542,160,13,0,218,0,3,1,0,0,0,8,0,0,0,0,828,0,11,0,4,1,0,5,24423,90,2,4157,18790,0
17577,64,0,0,60000,80,36,12,20,19,0,10,22,1,1,2,123,559,563,10,67,86,0,4,7,0,0,1,57,24,24,24,0,2124,0,1,0,12,9,0,5,30000,295,4,5432,6386,9
18399,64,0,0,60000,80,67,3,64,31,1,3,62,1,0,0,308,306,2792,51,0,20,0,2,1,0,0,0,66,63,63,63,0,1191,1035,48,1,55,52,0,5,53129,55,2,3723,1319,0
19221,64,0,0,60000,80,15,13,0,28,0,9,4,0,0,2,516,227,431,20,65,136,0,9,2,0,0,2,32,2,2,2,0,3519,1242,18,2,7,4,0,5,67079,245,3,8304,13605,6
20043,64,0,0,60000,80,9,5,2,31,0,7,2,0,0,0,264,326,635,20,0,166,0,4,1,0,0,0,13,5,5,5,0,1760,1242,15,2,5,2,0,5,58568,90,2,5317,16440,0
20865,64,0,0,60000,80,17,9,5,17,0,8,6,0,0,3,22,181,1184,38,0,20,0,5,2,0,0,2,13,6,6,6,0,2071,621,6,1,6,3,0,5,14806,280,2,3834,8426,0
21687,64,0,0,60000,80,32,22,6,32,2,10,11,2,4,3,406,189,492,55,170,145,1,10,5,1,2,3,22,8,8,8,0,4987,2425,10,8,8,5,0,4,5397,895,4,3283,14842,4
22509,64,0,0,60000,80,3,0,0,27,0,3,0,0,0,0,225,990,235,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,9,0,3,0,0,5,113380,0,1,0,0,0
23331,64,0,0,60000,80,34,14,12,25,0,7,19,4,2,2,340,156,607,58,72,209,0,6,6,1,1,0,30,17,17,17,0,3262,0,8,0,8,5,0,5,24873,465,3,4181,10586,8
24153,64,0,0,60000,80,26,18,6,33,0,8,11,2,0,5,315,269,600,44,157,95,0,5,8,1,0,4,33,8,8,8,0,3573,1035,21,3,8,5,0,5,34820,510,4,5952,17490,4
24975,64,0,0,60000,80,14,4,4,31,0,9,4,0,0,1,609,602,252,4,0,0,0,4,0,0,0,0,42,11,10,10,0,1656,621,26,1,8,5,0,5,48548,0,2,15581,11226,0
25797,64,0,0,60000,80,11,7,1,21,0,6,1,0,0,4,232,635,453,38,0,85,0,4,0,0,0,3,9,1,1,1,0,1863,621,10,1,4,1,0,5,5968,280,3,3886,28020,4
26619,64,0,0,60000,80,44,8,34,23,0,5,39,0,0,0,159,358,1949,0,0,92,0,3,5,0,0,0,63,45,44,44,0,933,1657,26,5,27,24,0,5,65177,185,3,6049,1398,9
27441,64,0,0,60000,80,32,18,10,23,3,9,11,2,2,5,645,224,291,53,118,83,1,6,7,0,2,2,23,11,11,11,0,3781,828,22,2,8,5,0,5,25848,645,4,5802,16148,7
28263,64,0,0,60000,80,15,12,1,27,0,6,4,1,0,4,566,213,365,6,0,235,0,6,2,1,0,3,8,0,0,0,0,2743,156,17,1,6,3,0,5,18934,405,3,5472,20166,6
29085,64,0,0,60000,80,11,9,0,21,0,7,2,0,0,2,594,275,220,40,49,247,0,7,0,0,0,2,12,0,0,0,0,1966,1449,8,4,5,2,0,5,8437,260,3,5210,10095,5
29907,64,0,0,60000,80,57,5,31,27,3,4,50,0,0,0,341,48,1771,0,0,2,0,2,3,0,0,0,60,40,40,40,0,621,621,5,1,24,21,0,5,41198,65,2,7187,1967,0
30729,64,0,0,60000,80,42,16,17,36,1,10,24,1,2,4,319,206,593,53,32,234,1,6,4,0,1,4,44,21,21,21,0,2890,1578,24,6,13,10,0,5,35386,490,4,5241,6637,9
31551,64,0,0,60000,80,70,12,53,31,1,7,58,1,1,2,328,222,1767,43,24,55,1,7,1,0,1,2,68,58,58,58,0,2796,483,2,1,41,38,0,5,36267,400,3,3124,1815,5
32373,64,0,0,60000,80,6,3,0,30,0,4,1,1,0,0,486,163,662,55,0,49,0,2,0,1,0,0,7,0,0,0,0,1035,0,10,0,4,1,0,5,55955,125,2,4974,22840,0
33195,64,0,0,60000,80,8,1,4,29,0,3,5,0,0,0,372,154,884,0,0,0,0,0,1,0,0,0,12,4,4,4,0,0,0,1,0,5,2,0,5,60411,10,1,1103,1610,0
34017,64,0,0,60000,80,18,6,7,37,1,7,9,0,0,1,701,64,582,20,0,28,0,2,3,0,0,1,18,12,11,11,0,104,0,5,0,5,2,0,5,59715,180,2,3935,2850,0
34839,64,0,0,60000,80,68,6,62,23,0,7,59,1,0,1,111,134,3248,8,0,8,0,6,0,0,0,0,68,63,63,63,0,828,414,3,1,66,63,0,5,37387,175,2,5638,919,0
35661,64,0,0,60000,80,33,7,23,19,0,4,29,0,0,0,86,296,2230,48,0,60,0,4,3,0,0,0,70,60,60,60,0,1399,570,2,1,34,32,0,5,63044,135,2,5609,1870,0
36483,64,0,0,60000,80,55,2,53,20,0,4,51,0,0,0,129,421,3493,0,0,37,0,2,0,0,0,0,68,63,63,63,0,1035,0,53,0,85,82,0,5,86667,45,2,17510,1146,0
37305,64,0,0,60000,80,24,11,12,25,1,7,13,2,0,1,314,324,667,81,35,24,1,5,3,2,0,0,29,15,15,15,0,3192,69,12,1,10,7,0,5,18836,345,4,5078,6927,9
38127,64,0,0,60000,80,61,7,47,27,0,10,51,0,0,0,479,349,1284,0,0,143,0,7,0,0,0,0,78,58,58,58,0,2638,0,4,0,41,38,0,5,50391,150,3,4374,1481,6
38949,64,0,0,60000,80,22,18,1,23,2,7,7,2,1,3,450,71,463,57,235,169,1,7,4,2,1,3,11,1,1,1,0,3795,2071,12,4,6,3,0,3,0,660,4,3307,18983,4
39771,64,0,0,60000,80,89,5,45,26,0,5,82,0,0,2,153,208,3337,2,0,73,0,4,1,0,0,0,65,61,61,61,0,0,1553,9,4,41,38,0,5,28988,100,2,7521,1128,0
40593,64,0,0,60000,80,52,15,20,28,4,9,35,1,1,2,576,46,764,24,62,128,4,4,3,1,1,2,30,21,21,21,0,1207,2452,14,10,17,14,0,5,16199,515,4,2982,2661,17
41415,64,0,0,60000,80,16,12,1,25,1,5,5,1,1,3,274,230,792,21,68,45,1,5,2,1,0,3,9,1,1,1,0,2450,483,18,1,6,3,0,5,6277,420,4,4020,11170,5
1274,64,0,0,60000,80,26,14,7,26,1,10,9,1,2,3,337,169,443,76,113,320,0,7,2,1,2,2,17,9,9,9,0,4399,1140,6,2,11,8,0,5,10645,545,4,3646,8645,9
2096,64,0,0,60000,80,15,4,6,35,2,2,11,0,0,0,385,154,759,27,0,100,1,2,1,0,0,0,17,8,8,8,0,259,103,1,1,7,4,0,5,14697,80,2,5690,1542,0
2918,64,0,0,60000,80,27,19,3,30,0,8,10,2,2,5,358,144,459,57,78,334,0,8,4,2,2,3,18,3,3,3,0,5057,621,4,1,9,6,0,5,8005,650,4,3580,11000,6
3740,64,0,0,60000,80,31,19,8,26,2,12,11,3,0,3,172,229,672,86,29,229,2,9,6,0,0,2,25,9,9,9,0,2949,1571,6,7,8,5,0,5,24532,510,4,5190,10850,5
4562,64,0,0,60000,80,38,13,23,31,3,8,24,1,0,2,655,89,693,20,34,104,2,7,1,1,0,2,38,25,25,25,0,2433,1467,26,5,20,17,0,5,53408,370,3,6366,3796,5
5384,64,0,0,60000,80,34,20,10,28,1,10,15,1,0,7,451,163,614,13,61,88,1,8,5,0,0,6,35,14,14,14,0,3002,1518,8,4,10,7,0,5,13300,710,4,4045,10700,7
6206,64,0,0,60000,80,72,12,60,16,5,4,59,0,1,3,248,88,3378,0,104,59,3,3,2,0,1,3,81,64,64,64,0,207,2416,11,10,85,82,0,5,54895,450,4,3227,1241,23
7028,64,0,0,60000,80,15,10,2,18,1,7,3,1,0,3,104,21,813,6,0,476,1,3,3,1,0,2,17,4,4,4,0,2054,156,14,1,6,3,0,5,14020,250,3,4170,18113,6
7850,64,0,0,60000,80,14,12,0,29,0,10,2,0,0,2,163,573,338,14,197,145,0,9,1,0,0,2,13,1,0,0,0,4812,621,13,1,7,4,0,5,9272,350,3,4187,16957,4
8672,64,0,0,60000,80,30,15,12,40,0,8,18,2,0,2,477,99,859,38,20,62,0,6,6,1,0,2,40,20,20,20,0,2795,1452,21,7,13,10,0,5,20663,465,3,4132,6625,5
9494,64,0,0,60000,80,55,11,32,29,4,4,41,0,0,6,432,27,874,74,28,130,4,1,4,0,0,2,46,37,37,37,0,1231,0,0,0,19,16,0,5,27163,340,3,3770,3650,18
10316,64,0,0,60000,80,44,21,16,32,1,10,25,1,1,6,532,77,416,91,132,170,1,3,12,1,1,3,40,22,22,22,0,2799,312,22,1,9,6,0,5,26391,745,4,4286,10606,7
11138,64,0,0,60000,80,9,5,1,24,0,2,6,0,0,1,546,163,430,3,0,233,0,2,3,0,0,0,8,2,2,2,0,881,104,10,1,4,1,0,5,5997,90,2,3442,16350,0
11960,64,0,0,60000,80,27,18,5,25,0,10,11,3,0,3,502,186,365,18,126,201,0,10,2,3,0,3,29,10,10,10,0,5693,3364,15,5,9,6,0,5,10866,565,4,3956,15006,4
12782,64,0,0,60000,80,26,10,12,30,1,6,13,1,2,3,412,574,248,1,135,31,0,2,3,1,1,3,24,15,15,15,0,2106,0,4,0,8,5,0,5,13205,445,4,4282,7608,7
13604,64,0,0,60000,80,14,10,1,24,0,9,3,0,0,2,293,291,629,13,25,209,0,6,2,0,0,2,19,2,2,2,0,2588,518,2,1,5,2,0,5,17346,305,3,4944,21945,4
14426,64,0,0,60000,80,581,7,1,29,2,51,4,73,0,451,642,291,135,48,0,304,1,3,3,0,0,0,13,2,2,2,0,1070,156,8,1,4,1,0,5,39317,170,2,3816,18990,0
15248,64,0,0,60000,80,39,11,21,30,2,9,21,2,0,5,286,147,876,20,27,58,1,6,2,1,0,1,32,22,22,22,0,1449,829,8,5,9,6,0,5,23762,330,3,4466,7763,7
16070,64,0,0,60000,80,27,15,10,29,2,8,11,2,1,3,353,224,758,30,63,37,1,4,6,2,0,2,31,14,14,14,0,3106,0,0,0,10,7,0,5,34643,495,4,6291,7528,7
16892,64,0,0,60000,80,31,16,12,26,2,5,19,4,1,0,305,71,740,61,97,125,2,5,6,2,1,0,49,17,17,17,0,3263,517,3,1,10,7,0,5,7723,520,4,4189,9584,6
17714,64,0,0,60000,80,16,13,1,27,2,6,4,1,0,3,659,340,316,47,52,21,2,5,3,0,0,3,10,2,2,2,0,0,4313,41,4,3,0,0,3,0,430,3,3750,0,3
18536,64,0,0,60000,80,11,8,1,32,1,6,0,3,0,1,546,212,511,74,0,97,1,6,0,0,0,1,12,2,1,1,0,1863,1104,13,2,5,2,0,5,5398,250,2,4847,13605,0
19358,64,0,0,60000,80,57,0,56,20,0,3,54,0,0,0,154,220,4287,0,0,0,0,0,0,0,0,0,65,63,63,63,0,0,0,42,0,126,123,0,5,32417,0,1,0,467,0
20180,64,0,0,60000,80,8,6,0,30,0,4,3,0,0,1,228,157,984,0,0,76,0,3,2,0,0,1,12,1,1,1,0,0,828,8,1,3,0,0,5,61664,140,2,5751,0,0
21002,64,0,0,60000,80,20,12,3,22,1,6,10,0,1,2,477,326,398,30,47,157,1,6,2,0,1,2,11,3,3,3,0,1744,414,4,1,6,3,0,5,11745,405,3,4257,10300,5
21824,64,0,0,60000,80,28,15,7,24,0,12,10,1,0,5,436,132,623,53,44,137,0,7,3,0,0,5,27,8,8,8,0,3286,1346,9,3,9,6,0,5,14301,435,4,7017,13006,8
22646,64,0,0,60000,80,14,8,2,23,1,6,4,0,0,3,319,176,834,11,37,13,1,4,1,0,0,2,22,7,7,7,0,1863,0,6,0,6,3,0,5,57155,270,3,5150,10270,5
23468,64,0,0,60000,80,86,1,57,24,0,4,82,0,0,0,552,43,3103,0,0,0,0,0,1,0,0,0,66,59,59,59,0,156,0,1,0,37,34,0,5,65073,10,1,1131,978,0
24290,64,0,0,60000,80,55,3,49,32,0,5,49,1,0,0,554,123,2746,8,0,6,0,3,0,0,0,0,74,57,57,57,0,1035,621,6,1,39,36,0,5,65945,35,2,15792,1413,0
25112,64,0,0,60000,80,173,7,5,26,28,41,100,1,0,3,446,147,720,24,0,38,2,3,1,0,0,1,20,4,4,4,0,1311,0,36,0,6,3,0,5,32282,145,2,3140,6346,0
25934,64,0,0,60000,80,18,12,5,29,3,4,4,1,0,6,645,22,691,0,23,142,2,2,3,1,0,4,19,6,6,6,0,517,2095,14,8,5,2,0,5,54909,445,4,3501,8770,5
26756,64,0,0,60000,80,22,17,0,30,1,12,2,3,0,4,274,250,417,45,178,226,1,10,0,2,0,4,15,2,2,2,0,6174,1656,36,3,9,6,0,5,41595,595,3,6959,20628,4
27578,64,0,0,60000,80,19,17,2,24,6,6,3,2,1,1,422,186,238,78,142,334,5,6,3,1,1,1,29,2,2,2,0,2104,1935,20,6,6,3,0,5,52448,395,4,6465,23950,4
28400,64,0,0,60000,80,67,2,33,22,0,5,62,0,0,0,455,110,1601,0,0,0,0,1,1,0,0,0,39,33,33,33,0,0,0,6,0,24,21,0,5,56027,20,1,2676,912,0
29222,64,0,0,60000,80,65,1,63,20,0,3,62,0,0,0,78,151,3926,0,0,0,0,0,1,0,0,0,74,63,63,63,0,0,0,0,0,114,111,0,5,37426,10,1,724,532,0
30044,64,0,0,60000,80,3,0,0,17,0,3,0,0,0,0,415,614,406,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,5,57788,0,1,0,0,0
30866,64,0,0,60000,80,43,13,23,27,2,4,30,1,0,6,426,23,996,4,95,19,0,3,7,0,0,3,41,28,28,28,0,2539,0,11,0,12,9,0,5,33407,355,4,3903,5605,10
31688,64,0,0,60000,80,6,3,0,42,1,4,1,0,0,0,848,93,356,38,0,100,1,2,0,0,0,0,5,1,0,0,0,0,0,37,0,3,0,0,5,56296,80,2,3969,0,0
32510,64,0,0,60000,80,4,2,0,25,0,3,1,0,0,0,253,420,777,0,0,0,0,1,1,0,0,0,41,2,1,1,0,621,0,92,0,4,1,0,5,58927,45,1,2708,4800,0
33332,64,0,0,60000,80,35,18,10,32,1,9,15,3,0,7,642,55,553,24,49,55,1,5,8,1,0,3,23,12,12,12,0,3142,104,13,1,8,5,0,5,22777,570,4,5575,8794,5
34154,64,0,0,60000,80,41,13,22,34,2,6,28,0,1,4,306,131,880,51,36,56,2,4,4,0,0,3,39,24,24,24,0,2935,1554,16,4,17,14,0,5,33657,405,3,3293,4020,4
34976,64,0,0,60000,80,62,6,51,29,0,6,53,0,0,3,336,363,1060,0,6,29,0,3,1,0,0,2,77,57,56,56,0,1346,0,1,0,27,24,0,5,49597,150,3,5927,2427,16
35798,64,0,0,60000,80,61,10,47,32,3,7,48,3,0,0,372,108,1458,11,8,9,0,3,6,1,0,0,67,55,55,55,0,2004,0,1,0,32,29,0,5,42665,250,3,6824,2158,8
36620,64,0,0,60000,80,81,7,67,33,0,7,71,1,0,2,232,119,1802,95,0,81,0,3,4,0,0,0,95,70,70,70,0,932,0,41,0,53,50,0,5,52932,135,2,9234,1362,0
37442,64,0,0,60000,80,6,3,1,33,0,5,1,0,0,0,691,110,617,32,0,0,0,2,1,0,0,0,9,2,1,1,0,0,0,0,0,3,0,0,5,55894,55,2,2960,0,0
38264,64,0,0,60000,80,23,8,10,24,3,7,10,0,1,2,393,28,899,13,3,94,1,2,3,0,0,2,25,13,13,13,0,0,2167,7,8,8,5,0,5,51016,245,3,3560,912,8
39086,64,0,0,60000,80,54,7,45,33,0,7,47,0,0,0,269,315,1179,28,0,130,0,4,3,0,0,0,63,49,49,49,0,1347,0,11,0,21,18,0,5,49822,175,2,5627,4225,0
