# ruleset sm-era-2 commit 5b01693 patrolBase 3 size 64 ticks 60000 ai 3 mirror 0 firmswap 0
seed,size,mirror,firmswap,ticks,offered,accepted,completed,failed,expired,acc_courier,acc_surveillance,acc_extraction,acc_sabotage,acc_acquisition,acc_defend,off_courier,off_surveillance,off_extraction,off_sabotage,off_acquisition,off_defend,courier,surveillance,extraction,sabotage,acquisition,defend,burns,downs,captures,arrests,rescues,banked,cacheLost,raids,raidsSucceeded,deployments,cleanExtracts,emergencyExtracts,heatMax,heatLockdownTicks,recognition,tierReached,avgSortieTicks,avgDeployTicks,deploysToTier3
1000,64,0,0,60000,80,14,9,2,27,4,2,5,1,0,2,569,26,329,24,0,447,4,1,4,0,0,0,14,4,4,4,0,397,0,3,0,4,1,0,5,4241,215,2,1761,8710,0
1822,64,0,0,60000,80,8,5,0,30,0,6,0,0,0,2,595,311,488,5,0,26,0,3,0,0,0,2,5,1,0,0,0,1449,414,48,1,4,1,0,5,6317,215,2,3500,49040,0
2644,64,0,0,60000,80,18,14,2,17,0,9,4,0,0,5,365,160,569,0,35,301,0,8,2,0,0,4,28,5,5,5,0,1863,1863,15,6,5,2,0,5,28330,375,4,4881,19090,4
3466,64,0,0,60000,80,40,12,24,21,0,9,26,3,0,2,410,180,757,32,28,88,0,6,3,2,0,1,45,28,28,28,0,3554,621,12,1,18,15,0,5,22140,350,3,4901,4268,7
4288,64,0,0,60000,80,32,21,6,33,1,8,12,4,2,5,441,166,479,89,84,138,1,7,3,3,2,5,23,9,9,9,0,5712,1656,27,2,11,8,0,5,4914,865,4,4087,12585,4
5110,64,0,0,60000,80,18,11,5,28,1,7,7,1,0,2,334,254,717,31,0,72,1,5,4,0,0,1,17,7,7,7,0,3003,1763,17,4,7,4,0,5,9033,345,2,2962,12232,0
5932,64,0,0,60000,80,28,22,0,23,2,11,8,2,1,4,365,148,569,74,127,157,2,9,5,2,1,3,13,1,1,1,0,5679,882,10,2,8,5,0,5,962,785,4,3484,13476,5
6754,64,0,0,60000,80,34,15,14,23,1,9,18,0,0,6,493,169,581,26,0,170,1,7,5,0,0,2,34,13,13,13,0,518,3668,5,12,8,5,0,5,34426,410,4,5670,3638,8
7576,64,0,0,60000,80,13,5,4,23,1,4,6,0,0,2,104,164,744,74,0,289,1,3,1,0,0,0,10,6,6,6,0,1501,414,5,1,7,4,0,5,13035,150,2,3727,5782,0
8398,64,0,0,60000,80,94,0,60,21,1,4,89,0,0,0,314,495,1840,0,0,0,0,0,0,0,0,0,65,63,63,63,0,0,0,2,0,34,31,0,5,22903,0,1,0,863,0
9220,64,0,0,60000,80,19,8,5,20,2,8,6,0,0,3,508,140,394,55,0,313,1,5,1,0,0,1,10,8,8,8,0,2242,690,5,1,8,5,0,5,14862,300,2,3343,5354,0
10042,64,0,0,60000,80,68,4,63,23,0,5,62,0,0,1,246,567,3959,0,0,42,0,2,1,0,0,1,71,63,63,63,0,1191,0,16,0,123,120,0,5,36887,100,2,13021,897,0
10864,64,0,0,60000,80,38,17,17,29,3,10,18,2,2,3,287,289,652,30,207,14,2,7,2,1,2,3,40,26,26,26,0,3779,570,1,1,13,10,0,5,34707,660,4,4797,6404,9
11686,64,0,0,60000,80,60,2,54,28,1,5,54,0,0,0,269,129,2323,0,0,40,0,2,0,0,0,0,77,59,59,59,0,0,0,3,0,35,32,0,5,54682,70,2,4679,1591,0
12508,64,0,0,60000,80,23,15,3,26,2,6,6,2,3,4,540,166,435,40,55,211,2,4,3,0,3,3,17,4,4,4,0,2302,1656,24,3,6,3,0,5,8584,605,4,2859,12036,5
13330,64,0,0,60000,80,68,6,61,35,0,4,64,0,0,0,653,37,3607,4,0,76,0,3,3,0,0,0,69,63,63,63,0,882,156,52,1,109,106,0,5,31163,135,2,3209,531,0
14152,64,0,0,60000,80,70,8,62,21,0,8,59,1,0,2,240,100,2756,26,0,44,0,5,1,0,0,2,66,63,63,63,0,2226,1552,41,3,52,49,0,5,50267,320,2,3545,1609,0
14974,64,0,0,60000,80,16,11,2,35,0,8,7,0,0,1,264,329,601,121,10,102,0,7,3,0,0,1,19,4,4,4,0,1710,2173,7,5,6,3,0,5,28241,275,3,7483,8966,6
15796,64,0,0,60000,80,16,12,1,30,1,7,3,1,0,4,702,162,180,29,35,268,1,7,0,0,0,4,22,1,1,1,0,3078,1508,4,3,6,3,0,5,9116,450,3,3952,14963,6
16618,64,0,0,60000,80,88,6,33,28,9,29,46,2,0,2,384,84,1341,0,0,81,0,4,0,0,0,2,43,34,34,34,0,1656,414,26,2,26,23,0,5,68622,190,2,6391,3565,0
17440,64,0,0,60000,80,72,7,60,38,2,6,63,0,0,1,253,271,1377,72,0,106,2,4,0,0,0,1,81,71,71,71,0,483,931,5,2,34,31,0,5,42108,240,2,3838,1925,0
18262,64,0,0,60000,80,27,12,12,20,0,9,12,1,0,5,323,269,591,0,112,107,0,7,0,0,0,5,28,14,13,13,0,3622,0,5,0,11,8,0,5,15029,485,4,3941,6808,5
19084,64,0,0,60000,80,51,3,46,29,1,2,48,0,0,0,458,31,2664,0,0,114,1,1,1,0,0,0,58,55,55,55,0,225,225,15,1,32,29,0,5,53528,80,2,2314,1902,0
19906,64,0,0,60000,80,26,16,5,32,2,8,7,1,0,8,567,51,437,48,149,173,1,4,3,1,0,7,13,7,6,6,0,1036,3356,26,11,6,3,0,5,8292,635,4,3376,9120,5
20728,64,0,0,60000,80,36,12,16,28,0,8,21,3,0,4,394,262,621,26,50,99,0,4,2,2,0,4,40,20,20,20,0,3553,0,15,0,16,13,0,5,41702,335,4,3907,4518,5
21550,64,0,0,60000,80,29,18,5,26,6,4,11,0,2,6,476,58,782,10,42,71,5,2,6,0,1,4,18,7,7,7,0,2313,2968,30,4,6,3,0,5,112288,655,4,4530,14020,4
22372,64,0,0,60000,80,14,11,0,29,0,5,3,2,1,3,275,244,784,8,29,125,0,4,2,2,0,3,22,0,0,0,0,3501,0,4,0,7,4,0,5,59934,340,4,4247,13965,5
23194,64,0,0,60000,80,79,19,54,23,7,1,58,4,3,6,340,20,1098,54,288,130,3,1,5,2,2,6,76,60,60,60,0,2967,138,29,1,36,33,0,5,36600,775,4,3404,2716,5
24016,64,0,0,60000,80,53,4,31,29,0,5,48,0,0,0,524,80,2723,0,0,0,0,4,0,0,0,0,57,47,47,47,0,414,621,4,1,33,30,0,5,24574,20,2,4826,907,0
24838,64,0,0,60000,80,20,16,2,27,1,5,7,2,1,4,444,124,612,30,99,101,1,5,4,2,0,4,15,2,2,2,0,2278,3313,12,10,6,3,0,5,8096,535,4,3724,7276,5
25660,64,0,0,60000,80,72,13,56,23,2,7,61,1,0,1,224,208,2016,43,61,130,2,6,3,1,0,1,69,59,59,59,0,2812,1985,50,7,41,38,0,5,60383,410,3,4544,2828,13
26482,64,0,0,60000,80,17,8,7,23,0,4,11,0,0,2,138,119,1001,31,24,88,0,3,3,0,0,2,38,11,11,11,0,2071,0,6,0,10,7,0,5,51078,175,3,7320,9888,9
27304,64,0,0,60000,80,66,5,61,25,0,6,60,0,0,0,415,189,2933,0,0,20,0,5,0,0,0,0,66,63,63,63,0,1242,414,4,1,62,59,0,5,47675,125,2,13618,1040,0
28126,64,0,0,60000,80,11,5,2,25,1,4,6,0,0,0,271,249,546,10,0,365,1,2,2,0,0,0,32,2,2,2,0,828,0,13,0,5,2,0,5,55983,90,2,2943,6985,0
28948,64,0,0,60000,80,32,21,10,24,2,9,14,3,1,3,321,126,684,46,101,114,1,7,9,2,0,2,44,13,13,13,0,1553,4513,9,14,7,4,0,5,38900,755,4,4193,13297,6
29770,64,0,0,60000,80,23,15,6,38,0,9,6,2,2,4,254,256,211,125,145,429,0,6,3,1,1,4,24,5,5,5,0,1191,3761,5,11,6,3,0,5,17757,445,4,3627,5996,6
30592,64,0,0,60000,80,3,0,0,31,0,3,0,0,0,0,774,310,316,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,5,110320,0,1,0,0,0
31414,64,0,0,60000,80,7,3,0,26,1,0,6,0,0,0,493,368,494,0,0,0,1,0,2,0,0,0,5,0,0,0,0,0,0,4,0,3,0,0,5,10135,55,1,1049,0,0
32236,64,0,0,60000,80,65,1,62,27,0,4,61,0,0,0,449,128,3726,0,0,0,0,1,0,0,0,0,66,62,62,62,0,414,414,53,1,106,103,0,5,54520,35,1,4047,523,0
33058,64,0,0,60000,80,68,6,62,34,2,5,60,0,0,1,313,103,3524,17,0,208,1,3,1,0,0,1,71,64,64,64,0,1518,69,2,1,84,81,0,5,45019,155,2,4521,943,0
33880,64,0,0,60000,80,13,9,2,19,2,6,4,0,0,1,177,498,349,3,0,373,1,5,2,0,0,1,13,2,2,2,0,2502,1433,7,4,6,3,0,5,57120,275,2,3577,12020,0
